"Date","Price","Open","High","Low","Vol.","Change %"
"01-09-2022","79.2270","79.9120","79.9700","78.9460","94.82K","-0.90%"
"31-08-2022","79.9440","79.7690","80.0790","79.2440","91.12K","0.23%"
"30-08-2022","79.7610","79.9060","80.0440","79.4940","100.02K","-0.19%"
"29-08-2022","79.9140","79.8170","80.1200","79.2600","65.59K","0.33%"
"26-08-2022","79.6490","79.6460","80.4430","79.4620","66.71K","0.00%"
"25-08-2022","79.6460","79.5010","80.1390","79.4770","89.83K","0.18%"
"24-08-2022","79.5010","79.5990","79.7660","79.0570","74.27K","-0.10%"
"23-08-2022","79.5840","79.3950","79.8990","79.0590","87.99K","0.26%"
"22-08-2022","79.3790","80.2320","80.2660","79.2530","93.85K","-1.01%"
"19-08-2022","80.1920","80.4520","80.5380","80.1420","82.71K","-0.32%"
"18-08-2022","80.4520","80.7620","81.1150","80.3420","83.93K","-0.40%"
"17-08-2022","80.7780","80.5790","80.9700","80.4680","97.81K","0.23%"
"16-08-2022","80.5950","80.7900","80.9020","80.2820","67.32K","-0.24%"
"15-08-2022","80.7900","81.6980","81.7540","80.7410","67.60K","-1.11%"
"12-08-2022","81.6960","82.0790","82.2720","81.4830","86.53K","-0.50%"
"11-08-2022","82.1030","81.4390","82.3760","81.3250","92.19K","0.82%"
"10-08-2022","81.4390","81.2500","82.0670","81.0400","95.94K","0.24%"
"09-08-2022","81.2420","81.1440","81.4840","81.0370","83.06K","0.13%"
"08-08-2022","81.1360","80.7650","81.3020","80.6060","74.74K","0.42%"
"05-08-2022","80.7960","81.0990","81.1450","80.4650","90.47K","-0.38%"
"04-08-2022","81.1070","80.4050","81.3400","80.3180","87.87K","0.88%"
"03-08-2022","80.3970","79.8760","80.8230","79.7890","83.88K","0.63%"
"02-08-2022","79.8920","81.0120","81.2450","79.8440","107.93K","-1.39%"
"01-08-2022","81.0200","81.0500","81.2480","80.8180","92.16K","-0.06%"
"29-07-2022","81.0660","81.1870","81.4220","80.4890","88.83K","-0.13%"
"28-07-2022","81.1710","81.4180","81.6110","80.5580","113.91K","-0.35%"
"27-07-2022","81.4580","80.7610","81.6020","80.7200","82.22K","0.87%"
"26-07-2022","80.7530","81.4280","81.7090","80.6780","85.22K","-0.85%"
"25-07-2022","81.4440","81.5060","81.8010","81.2540","84.02K","-0.08%"
"22-07-2022","81.5060","81.6710","81.8430","80.9130","79.88K","-0.20%"
"21-07-2022","81.6710","81.3880","81.9720","81.0840","111.87K","0.34%"
"20-07-2022","81.3960","81.6390","82.1430","81.2220","98.51K","-0.30%"
"19-07-2022","81.6390","81.1180","82.0660","80.9010","86.69K","0.63%"
"18-07-2022","81.1260","80.4220","81.5670","80.3740","81.60K","0.84%"
"15-07-2022","80.4540","80.0180","80.5060","79.9120","84.68K","0.54%"
"14-07-2022","80.0180","80.1200","80.3360","79.7460","96.34K","-0.14%"
"13-07-2022","80.1280","79.7360","80.5910","79.6330","88.60K","0.48%"
"12-07-2022","79.7440","79.7120","80.0480","79.4700","94.81K","0.03%"
"11-07-2022","79.7200","80.6230","80.7100","79.6640","83.05K","-1.23%"
"08-07-2022","80.7100","80.4010","80.7930","79.8470","96.62K","0.38%"
"07-07-2022","80.4080","80.4420","80.9020","80.2330","92.96K","-0.03%"
"06-07-2022","80.4340","81.3800","81.5020","80.2750","102.28K","-1.16%"
"05-07-2022","81.3800","82.2000","82.5990","81.1180","91.21K","-1.03%"
"04-07-2022","82.2310","82.2590","82.5500","82.2010","74.69K","-0.09%"
"01-07-2022","82.3060","82.7320","82.8060","81.8140","73.06K","-0.54%"
"30-06-2022","82.7550","82.3850","82.8320","81.9990","88.80K","0.45%"
"29-06-2022","82.3850","83.0450","83.2200","82.3370","95.38K","-0.81%"
"28-06-2022","83.0610","82.9920","83.5530","82.8820","97.73K","0.08%"
"27-06-2022","82.9920","82.5560","83.2430","82.4940","90.38K","0.52%"
"24-06-2022","82.5640","82.2420","82.6850","82.1340","91.37K","0.40%"
"23-06-2022","82.2350","82.5760","82.7940","81.9840","114.23K","-0.41%"
"22-06-2022","82.5760","82.2170","82.9410","81.8640","86.64K","0.44%"
"21-06-2022","82.2170","81.8640","82.6190","81.8410","86.23K","0.43%"
"20-06-2022","81.8640","81.5980","82.2400","81.5980","79.32K","0.06%"
"17-06-2022","81.8160","82.2120","82.3060","81.5300","88.70K","-0.49%"
"16-06-2022","82.2200","81.6100","82.5810","81.0100","142.21K","0.76%"
"15-06-2022","81.6030","81.2230","82.0050","80.8620","107.95K","0.46%"
"14-06-2022","81.2300","81.2730","81.8300","81.0980","89.67K","-0.02%"
"13-06-2022","81.2490","82.1150","82.1700","81.1950","78.64K","-1.08%"
"10-06-2022","82.1390","82.5850","82.8370","81.9960","73.86K","-0.53%"
"09-06-2022","82.5770","83.2450","83.7000","82.5380","84.15K","-0.78%"
"08-06-2022","83.2300","83.0670","83.4930","82.9070","61.88K","0.19%"
"07-06-2022","83.0750","83.1880","83.2580","82.7900","66.56K","-0.15%"
"06-06-2022","83.1960","83.1790","83.4870","83.0650","65.14K","0.03%"
"03-06-2022","83.1710","83.1390","83.5430","83.0470","40.72K","0.02%"
"02-06-2022","83.1540","82.5600","83.1850","82.5440","57.04K","0.70%"
"01-06-2022","82.5750","83.2470","83.2860","82.3950","61.83K","-0.82%"
"31-05-2022","83.2550","83.5610","83.5690","82.9390","76.98K","-0.37%"
"30-05-2022","83.5610","83.2990","83.6310","83.1900","59.15K","0.39%"
"27-05-2022","83.2370","83.2410","83.5450","82.9450","69.29K","0.00%"
"26-05-2022","83.2330","82.7940","83.3570","82.7100","69.28K","0.55%"
"25-05-2022","82.7790","83.1530","83.1920","82.5430","76.64K","-0.44%"
"24-05-2022","83.1460","82.8580","83.3440","82.6120","73.92K","0.35%"
"23-05-2022","82.8580","82.2870","82.9200","82.1600","77.09K","0.79%"
"20-05-2022","82.2100","81.9360","82.2640","81.7230","84.33K","0.33%"
"19-05-2022","81.9430","81.4410","82.1530","81.2840","83.92K","0.64%"
"18-05-2022","81.4250","81.6980","81.8180","81.3140","85.05K","-0.32%"
"17-05-2022","81.6900","81.1720","81.7450","81.0100","82.88K","0.65%"
"16-05-2022","81.1640","80.6000","81.2550","80.4890","65.33K","0.63%"
"13-05-2022","80.6540","80.3390","80.6620","80.2280","78.97K","0.37%"
"12-05-2022","80.3540","81.3580","81.6590","80.0760","107.38K","-1.24%"
"11-05-2022","81.3660","81.2710","81.6870","81.0520","113.87K","0.12%"
"10-05-2022","81.2710","81.6510","81.8500","81.2630","77.58K","-0.46%"
"09-05-2022","81.6430","81.1820","81.8960","80.8640","72.72K","0.55%"
"06-05-2022","81.1970","80.6380","81.5750","80.4490","90.96K","0.71%"
"05-05-2022","80.6230","80.9930","81.1450","80.2790","92.63K","-0.46%"
"04-05-2022","80.9930","80.3900","81.0610","80.1380","71.05K","0.69%"
"03-05-2022","80.4360","80.3240","80.9280","80.2940","70.07K","0.16%"
"02-05-2022","80.3090","80.7130","80.7440","80.2090","51.63K","-0.44%"
"29-04-2022","80.6600","80.4730","80.9705","80.4345","89.98K","0.23%"
"28-04-2022","80.4780","80.9010","80.9505","80.2625","91.92K","-0.47%"
"27-04-2022","80.8570","81.5680","81.7870","80.5865","92.69K","-0.82%"
"26-04-2022","81.5280","82.2195","82.3850","81.5530","94.23K","-0.79%"
"25-04-2022","82.1750","82.9105","82.9180","82.0705","101.57K","-0.43%"
"22-04-2022","82.5310","82.6530","82.8960","82.3690","77.40K","-0.10%"
"21-04-2022","82.6140","82.7595","83.2750","82.5100","89.62K","-0.14%"
"20-04-2022","82.7290","82.4685","82.9155","82.4345","87.60K","0.35%"
"19-04-2022","82.4370","82.2575","82.6735","82.0965","81.41K","0.28%"
"18-04-2022","82.2100","82.4765","82.6100","82.1230","37.30K","-0.30%"
